"","rowname","Value","Std..Error","t.value","p.val"
"1","Lobbying",0.154129044500779,0.0209979676158281,7.34018869448098,1.82568306304746e-13
"2","policyAreaAgriculture.and.Food",0.33696539984305,0.230634957018706,1.46103350592998,0.145054058502543
"3","policyAreaAnimals",0.0643638604215463,0.0233903955995327,2.75172175466892,0.00689070738626062
"4","policyAreaArmed.Forces.and.National.Security",0.875786958443914,0.216467398347673,4.04581458976698,5.19612192135432e-05
"5","policyAreaArts..Culture..Religion",2.86015362875051,1.52512730232841,1.87535402742048,0.0618116046784535
"6","policyAreaCivil.Rights.and.Liberties..Minority.Issues",0.52507390023639,0.369796280659993,1.41990043625984,0.157103204405375
"7","policyAreaCongress",-0.172070535139634,0.301856087899224,-0.570041625919039,0.564591789836744
"8","policyAreaCrime.and.Law.Enforcement",0.347691496735253,0.160582990813013,2.16518259483729,0.030373156503902
"9","policyAreaEconomics.and.Public.Finance",-0.656439612965881,0.258302694630288,-2.54135797501242,0.0103276778783314
"10","policyAreaEducation",0.264991836568786,0.175724448948488,1.50799640092465,0.131958498368468
"11","policyAreaEmergency.Management",0.424307130125748,0.197948018853607,2.14352804631779,0.0330344593012953
"12","policyAreaEnergy",-0.466583448725601,0.152667311246651,-3.0562105595204,0.00220793230706723
"13","policyAreaFinance.and.Financial.Sector",-0.40029405721678,0.189100905078631,-2.11682782295691,0.0337439064600389
"14","policyAreaForeign.Trade.and.International.Finance",-0.671854153331743,0.300880475853073,-2.23296028573095,0.0214279461329221
"15","policyAreaGovernment.Operations.and.Politics",0.547096300222297,0.157394821757344,3.47594853575142,0.000498924765657225
"16","policyAreaHealth",-0.31622773860483,0.125249812276001,-2.52477614823079,0.011553795751434
"17","policyAreaImmigration",-0.218075612343482,0.190922041017997,-1.14222334509259,0.253072916087173
"18","policyAreaInternational.Affairs",-1.14539749862332,0.298900185707314,-3.83204010366491,0.000107479643012438
"19","policyAreaLabor.and.Employment",0.175140070742698,0.193614361118483,0.904582024447661,0.366311384405839
"20","policyAreaLaw",0.0278114701212738,0.0266645823516443,1.04301165322992,0.297738238176125
"21","policyAreaNative.Americans",0.238477825771525,0.315718937185016,0.75534850046633,0.450481936755791
"22","policyAreaNone",-12.4550987848404,1.85852037763153e-07,-67016207.8110381,0.0534848362051215
"23","policyAreaPublic.Lands.and.Natural.Resources",0.874631384715675,0.162548793806902,5.38073131292924,7.93979867782249e-08
"24","policyAreaScience..Technology..Communications",0.543668024702185,0.178896222246654,3.03901344519506,0.00244865399891678
"25","policyAreaSocial.Welfare",-0.120419838727717,0.257156075846718,-0.468275300636859,0.639365843995491
"26","policyAreaSports.and.Recreation",1.50424060987116,0.758921924548252,1.9820755748578,0.0551043783191233
"27","policyAreaTaxation",-1.46065131610746,0.194896090800636,-7.49451315368656,2.227616072191e-14
"28","policyAreaWater.Resources.Development",0.957926352144404,0.238991706017816,4.0081991467645,6.87961671389797e-05
"29","subjects.count",0.28132664702292,0.0544624580530957,5.16551505531853,2.6051657725957e-07
"30","cosponsors.count",0.00258552921886063,0.0010876730191495,2.37711993709504,0.018321830590451
"31","introducedDate",-0.149914184630048,0.0273231977044475,-5.48669984573753,3.77988610907487e-08
"32","relatedBills.count",0.310108023434557,0.0534236465213333,5.80469592824825,6.79512927034113e-09
"33","sponsors.partyR",-0.373640649499375,0.0609505648972882,-6.13022455376781,7.20940276806621e-10
"34","first_committeeAgriculture..Nutrition..and.Forestry.Committee",-2.32271888833979,0.374957994577488,-6.19461092157025,5.33149658543785e-13
"35","first_committeeAppropriations.Committee",1.61632239319977,0.316952172883912,5.09957820605246,3.33800828666091e-07
"36","first_committeeArmed.Services.Committee",-0.524077670035878,0.241315858205823,-2.17174981342869,0.0296052955471853
"37","first_committeeBanking..Housing..and.Urban.Affairs.Committee",-0.742889391333128,0.232789633297011,-3.19124774076727,0.00124332844733525
"38","first_committeeBudget.Committee",-0.427716648283926,0.381963438222747,-1.11978426593411,0.257804721118267
"39","first_committeeCommerce..Science..and.Transportation.Committee",-0.380444063699223,0.201221639774477,-1.89067171963022,0.0578862713076974
"40","first_committeeCommittee.on.House.Administration",-1.74879874625454,0.461978110666529,-3.78545802469174,3.7735588467202e-05
"41","first_committeeEducation.and.the.Workforce.Committee",0.212295615843632,0.177315894684683,1.19727346621211,0.230824235223404
"42","first_committeeEnergy.and.Commerce.Committee",0.555917404437198,0.156430133349359,3.55377440736214,0.000369121606111938
"43","first_committeeEnergy.and.Natural.Resources.Committee",0.398194385872582,0.195439164773075,2.03743393160182,0.0417271135178332
"44","first_committeeEnvironment.and.Public.Works.Committee",-0.219231330473383,0.219108503503748,-1.00056057600536,0.316135518701307
"45","first_committeeFinance.Committee",-3.23193882534373,0.277959520048537,-11.627372305073,1.43552536524032e-42
"46","first_committeeFinancial.Services.Committee",-2.03878272686008,0.237285735663992,-8.59209982072876,2.3508487602329e-20
"47","first_committeeForeign.Affairs.Committee",-2.5880963493465,0.581623185049514,-4.44978194795687,1.00388886848532e-07
"48","first_committeeForeign.Relations.Committee",1.0058131649956,0.410148582487867,2.45231413185576,0.0150586489064654
"49","first_committeeHealth..Education..Labor..and.Pensions.Committee",-1.88518517807837,0.206114559988968,-9.14629795284369,3.02291248495972e-21
"50","first_committeeHomeland.Security.and.Governmental.Affairs.Committee",1.30845366806681,0.210080301018718,6.22835012003447,6.44335761818141e-10
"51","first_committeeHomeland.Security.Committee",0.199679681140343,0.214876180297485,0.929277879306572,0.352492107467012
"52","first_committeeIndian.Affairs.Committee",1.0410115463451,0.456672927152958,2.27955607711431,0.0234840847524415
"53","first_committeeIntelligence..Permanent.Select..Committee",-14.1399624476895,1.74434845217804e-06,-8106157.01813133,4.83492632688528e-06
"54","first_committeeIntelligence..Select..Committee",-2.10119813797127,1.18360500117075,-1.77525283848319,0.0471919626484779
"55","first_committeeJudiciary.Committee",0.19867896463845,0.160075028678617,1.24116151206405,0.21386296867236
"56","first_committeeNatural.Resources.Committee",0.622220375091027,0.192330879026352,3.23515588469689,0.00120441323694784
"57","first_committeeNone",3.7122378227558,0.246675498831018,15.0490739467353,3.34516457959965e-50
"58","first_committeeRules.and.Administration.Committee",-0.797752719676897,0.434594629007135,-1.8356248937071,0.0606361360721747
"59","first_committeeRules.Committee",-4.01902804456011,1.04005491395884,-3.86424600337896,9.87823594621274e-11
"60","first_committeeScience..Space..and.Technology.Committee",0.521672390969787,0.267583177785914,1.9495709531754,0.0512376107168856
"61","first_committeeSmall.Business.Committee",1.383125674414,0.312935764643349,4.41983892761616,9.66791429786555e-06
"62","first_committeeTransportation.and.Infrastructure.Committee",0.964166749778193,0.180131845421003,5.3525613282024,7.98283521671733e-08
"63","first_committeeVeterans..Affairs.Committee",0.462806758699065,0.24842608425543,1.86295557524148,0.0624933725232364
"64","first_committeeWays.and.Means.Committee",-1.73426296737812,0.209612410997805,-8.27366547201387,1.96413323139527e-17
"65","committees.count",0.615106795129626,0.0365715408911041,16.8192747732773,3.59971809895597e-74
"66","cospsonsors.count",0.0849509610693079,0.0277315160884231,3.06333634260882,0.00214793752995681
"67","Introduced|CommitteeConsideration",1.61080598532929,0.182307657675499,8.83564632373516,6.05607274262718e-19
"68","CommitteeConsideration|PassedCommittee",4.21562379097284,0.190711991481703,22.104660321673,2.07812919125974e-105
"69","PassedCommittee|FloorConsideration",4.74611981855738,0.193177139683279,24.5687446575657,8.22683207611639e-129
"70","FloorConsideration|PassedCongress",6.00448055735927,0.202180760028721,29.69857545548,3.79334237707802e-184
