"","Predictor","Estimate","Std..Error","t.value","Pr...t.."
"1","Intercept",2.36182091986904,0.0226915518921779,104.08371058496,0
"2","CommitteeConsideration",0.141834428724556,0.0362449871054353,3.91321504162672,9.18400370762024e-05
"3","DischargePetition",0.431331291548847,0.365053757124174,1.1815555466318,0.237417676239418
"4","CalendarEntry",1.17497516720472,0.0820085478596304,14.3274719266565,5.53928462515707e-46
"5","FloorConsideration",0.775013009040597,0.0699590320578711,11.0780979416567,2.58841563262974e-28
"6","ResolvingDifferences",3.15091652517783,0.486326774430983,6.47901100831739,9.78589985952012e-11
"7","PassedCongress",0.840234141752889,0.0917102938372637,9.16183022206701,6.40086829530112e-20
